index,n_atoms,charge,E_before_hartree,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,max_force_evA,rmsd_A,steps,converged,failure_reason,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
0,3,0,-8.288662275424,-8.301009490844,7.747994654348104,2.582664884782701,2.3802326191211374,0.09262977625658543,,True,,,,,,,,,,,,,,,
1,22,0,-25.998573397583,-26.064284913734,41.23459893980153,1.8742999518091603,3.9058087499017016,0.7468195013596512,,True,,,,,,,,,,,,,,,
2,80,0,-150.984144750796,,,,28.70506503529683,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
3,16,0,-22.218434374811,-22.278818555708,37.89164559640731,2.3682278497754568,2.6179119624734883,0.7182466910625329,,True,,,,,,,,,,,,,,,
4,16,0,-18.83603984884,-19.006852099598,107.18630563668742,6.699144102292964,2.456658131219159,0.8898501177586585,,True,,,,,,,,,,,,,,,
5,14,0,-15.055241990634,-15.175609487294,75.53174452340863,5.3951246088149025,2.702203076958797,0.5113196453097215,,True,,,,,,,,,,,,,,,
6,48,0,-72.169100796417,-72.34813481119,112.34554044960736,2.3405320927001534,4.537161897951905,2.8429843935828734,,False,,,,,,,,,,,,,,,
7,105,0,-124.47932018128,-131.285600766506,4271.005550361059,40.67624333677199,52.325586073462134,1.7185245013833748,,False,,,,,,,,,,,,,,,
8,113,0,-161.970727941769,-170.045133913393,5066.7662446257145,44.83863933297093,50.34717836612929,2.0803603036209126,,False,,,,,,,,,,,,,,,
9,98,0,-132.123803886979,-136.867429674359,2976.670122990972,30.374184928479306,335.73903939113615,2.163248526183842,,False,,,,,,,,,,,,,,,
10,21,0,-26.430569066504,-26.474223353774,27.393478845398214,1.304451373590391,2.9053370935272453,0.331853502537485,,True,,,,,,,,,,,,,,,
11,8,0,-10.796668375752,-10.830000724382,20.91636455809871,2.6145455697623388,2.68231771764373,0.33364941978032847,,True,,,,,,,,,,,,,,,
12,10,0,-18.607457757953,-18.648132436018,25.52374584025338,2.552374584025338,3.890052022491039,0.4112742085796936,,True,,,,,,,,,,,,,,,
13,18,0,-20.423181766973,-20.493191947675,43.93205167137624,2.44066953729868,3.549408916372193,0.893589519147507,,True,,,,,,,,,,,,,,,
14,42,0,-67.611960087635,-68.269735803693,412.7604936350332,9.827630800834124,4.631241549046499,3.118529828931589,,False,,,,,,,,,,,,,,,
15,50,0,-83.273852742231,-84.28219329453,632.7432496496434,12.654864992992868,5.826121105422676,2.620688024801827,,True,,,,,,,,,,,,,,,
16,55,0,-80.856630647223,-81.727162060849,546.2667095198565,9.932121991270117,7.430838920991527,2.3573309009370593,,True,,,,,,,,,,,,,,,
17,25,0,-34.333385077861,-34.615547828265,177.0597991062106,7.082391964248424,3.9651964980780305,1.0678580720782294,,True,,,,,,,,,,,,,,,
18,195,0,-88.236143672867,,,,34.40047381472506,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
19,55,0,-78.129701219311,-78.632424428818,315.46357679704886,5.735701396309979,7.494590264947245,2.60391397940437,,False,,,,,,,,,,,,,,,
20,65,0,-113.207324075196,-115.771662138571,1609.1464294684372,24.756098914899034,50.55204424240654,3.6168391356952214,,False,,,,,,,,,,,,,,,
21,79,0,-89.719755577423,-98.104008645708,5261.198233291457,66.5974459910311,179.88034820264176,1.904201016165288,,False,,,,,,,,,,,,,,,
22,14,0,-13.563820069378,-13.619053624479,34.6595791120633,2.4756842222902358,1.6545049686967443,0.40207506956905664,,True,,,,,,,,,,,,,,,
23,14,0,-15.161906688251,-15.204018295228,26.425432346089526,1.8875308818635375,2.5543180545148663,0.943897691201359,,True,,,,,,,,,,,,,,,
24,12,0,-17.657289046768,-17.740410340704,52.15939944122328,4.34661662010194,3.6067356872441394,0.7834060486178339,,True,,,,,,,,,,,,,,,
25,70,0,-120.821442837424,-122.095147299617,799.2616171825501,11.41802310260786,14.547059513835341,3.2707396536247333,,False,,,,,,,,,,,,,,,
26,63,0,-104.902245767855,-106.319655528661,889.4380535352744,14.118064341829752,20.434059654785028,1.9424281274971122,,False,,,,,,,,,,,,,,,
27,24,0,-33.02159855127,-33.133267323636,70.07321261665759,2.9197171923607326,2.555027151213481,1.6379738440807017,,True,,,,,,,,,,,,,,,
28,3,0,-10.883759066661,-10.906101728255,14.020231826021393,4.673410608673797,5.533123826646411,0.08782454034399463,,True,,,,,,,,,,,,,,,
29,55,0,-89.510246435204,-89.896626124608,242.45691568657378,4.408307557937705,5.635954335879895,2.928393541481697,,True,,,,,,,,,,,,,,,
30,13,0,-19.549339896781,-19.58869193138,24.693774534532622,1.899521118040971,2.160841982020159,0.33605738940037816,,True,,,,,,,,,,,,,,,
31,6,0,-10.910180925453,-10.933854108232,14.855146475049642,2.475857745841607,1.5980514666264862,0.6999434037667682,,True,,,,,,,,,,,,,,,
32,42,0,-69.508415992318,-69.820272923527,195.69317888588765,4.659361402044944,4.902110450839751,2.943234367266109,,False,,,,,,,,,,,,,,,
33,10,0,-13.512886039191,-13.534162831094,13.351388496800665,1.3351388496800665,3.3774291807731953,0.29557641859479483,,True,,,,,,,,,,,,,,,
34,83,0,-139.783571822548,-143.010518616739,2024.939685652406,24.396863682559108,88.10953714221183,1.9685438366013475,,False,,,,,,,,,,,,,,,
35,51,0,-87.086014899428,-87.851950533693,480.63186702382063,9.424154255369032,46.46149602501143,2.9446728913748896,,False,,,,,,,,,,,,,,,
36,62,0,-108.272399020851,-109.470948457095,752.1011263761025,12.130663328646813,17.918224865744424,3.699022973664164,,False,,,,,,,,,,,,,,,
37,126,0,-105.954358849673,,,,93.1805412000835,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
