index,n_atoms,charge,E_before_hartree,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,max_force_evA,rmsd_A,steps,converged,failure_reason,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
0,47,0,-66.975724206448,-68.02248054304,656.8495182470615,13.975521664831096,10.131639055791434,2.370266042279645,,True,,,,,,,,,,,,,,,
1,27,0,-29.699646209614,-29.952162003608,158.45605308180114,5.868742706733376,3.1169519834603556,1.1005789123927947,,True,,,,,,,,,,,,,,,
2,22,0,-25.49123940103,-25.729007564379,149.20177513207975,6.7818988696399884,4.308193923066905,0.949958372031891,,True,,,,,,,,,,,,,,,
3,42,0,-69.533376394286,-70.427758999815,561.2335584066898,13.362703771587851,16.4874519110352,2.6128296131521136,,False,,,,,,,,,,,,,,,
4,136,0,-122.270066260269,-134.93987764579,7950.42667900696,58.45901969858058,60.82983095102953,1.3100701382631166,,False,,,,,,,,,,,,,,,
5,104,0,-322.517623047216,,,,310.39451116107836,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
6,106,0,-120.015242554844,-128.591259765034,5381.532049122432,50.76917027473993,118.19411472026115,1.579465030065272,,False,,,,,,,,,,,,,,,
7,7,0,-17.431048609545,-17.456649148887,16.064580978228598,2.2949401397469424,3.1319039822109342,0.24509301991320212,,True,,,,,,,,,,,,,,,
8,83,0,-95.848052297137,-98.832018128188,1872.4668292650708,22.559841316446636,28.69258345269824,1.2643052781683872,,False,,,,,,,,,,,,,,,
9,15,0,-24.814972055189,-24.845800486197,19.345132528020944,1.289675501868063,3.9798562089535268,0.8499164387480735,,True,,,,,,,,,,,,,,,
10,12,0,-13.976198479644,-14.145503334385,106.24040035485451,8.853366696237876,3.506329798809372,0.7635447593913289,,True,,,,,,,,,,,,,,,
11,96,0,-132.118298215752,,,,65.73256888435407,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
12,12,0,-14.967893567476,-14.998201377896,19.018438176658393,1.584869848054866,2.8836344399748244,0.36303353580379577,,True,,,,,,,,,,,,,,,
13,3,0,-4.244225671637,-4.256278650684,7.563358542676312,2.5211195142254375,2.070634688874161,0.08967872356205141,,True,,,,,,,,,,,,,,,
14,33,0,-66.304010998827,-66.736098992636,271.1393097440693,8.216342719517252,7.614734172477125,3.303464662423402,,False,,,,,,,,,,,,,,,
15,57,0,-71.567409029242,-73.110205803907,968.1195926562766,16.98455425712766,107.42513399047132,2.841527169477987,,False,,,,,,,,,,,,,,,
16,46,0,-81.874087931079,-82.947751883662,673.7343022058612,14.646397874040462,6.316614216187937,2.8211506399432187,,True,,,,,,,,,,,,,,,
17,14,0,-15.822876678313,-16.034332106657,132.69028462793167,9.47787747342369,2.743006913749115,0.9640924182918525,,True,,,,,,,,,,,,,,,
18,120,0,-135.639568922426,-145.041928414613,5900.069659894462,49.16724716578719,56.546258783351774,1.3909500890303337,,False,,,,,,,,,,,,,,,
19,108,0,-125.132180945428,-140.768990846037,9812.246356755835,90.8541329329244,424.1910928854711,1.6960558193778577,,False,,,,,,,,,,,,,,,
20,7,0,-14.598542923163,-14.622830962972,15.240975086568644,2.177282155224092,2.893848936797946,0.11087165388753152,,True,,,,,,,,,,,,,,,
21,45,0,-89.502658934183,-90.666489883285,730.3149467693498,16.229221039318887,20.493547996735202,2.7411414911241687,,False,,,,,,,,,,,,,,,
22,108,0,-121.132930807489,,,,287.7093316984446,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
23,20,0,-26.127991675038,-26.181738470865,33.72662358197712,1.6863311790988562,3.9745790493910174,1.9748609597312181,,True,,,,,,,,,,,,,,,
24,27,0,-46.172041960209,-46.305569143844,83.78957277592335,3.1033175102193833,3.241237377631231,2.6857263121982666,,True,,,,,,,,,,,,,,,
25,93,0,-122.106512990231,-126.156939794884,2541.681193918887,27.329905310955773,82.42971944567726,2.1856117096070204,,False,,,,,,,,,,,,,,,
26,5,0,-15.472491969559,-15.504593983574,20.14431793091941,4.028863586183882,4.629877309776989,0.12937097303947612,,True,,,,,,,,,,,,,,,
27,50,0,-90.311938983137,-91.395339988411,679.8443950189206,13.596887900378412,6.191225003713434,2.0491531558043383,,False,,,,,,,,,,,,,,,
28,44,0,-67.117220566531,-68.267573136493,721.8571361639873,16.405844003726983,4.215216309328064,2.098878720223809,,False,,,,,,,,,,,,,,,
29,45,0,-55.292735852983,-55.910490566933,387.6469356507648,8.614376347794774,3.5409327247278646,2.5951109515759234,,False,,,,,,,,,,,,,,,
