seed,method,attempted,graph_supported,geometrically_supported,validator_errors,generation_seconds,disconnected,overlap,distinct_connectivities_sum
0,fixed,512,118,331,103,119.72356195282191,170,12,118
0,tree_actual,512,102,349,126,122.93537625810131,157,6,101
0,tree_sham,512,119,335,107,125.44235512870364,165,13,119
1,fixed,512,97,312,112,122.12711443682201,193,7,96
1,tree_actual,512,75,269,101,123.80136902607046,237,11,73
1,tree_sham,512,97,309,109,124.19221168686636,198,6,96
