method,distinct_connectivities,potential_change_eV,seconds_per_trajectory,marginal_label_calls
root_noise,1.8888888888888888,-0.4234771288287852,0.99488947315452,0
single_linear,2.1666666666666665,-0.4177762942383399,2.002022435765765,966
panel_linear,1.7222222222222223,-0.346171471506548,3.7799372543748984,966
panel_restraint,1.7222222222222223,-0.3461715148612509,3.695591277520483,966
panel_radial,1.6666666666666667,-0.3796548533276412,3.7401310960412957,1900
panel_blind,1.6388888888888888,-0.3657461739324693,3.8264587704195745,1900
single_uniform,1.9444444444444444,-0.3905559097353641,2.020287010133163,0
single_force,1.75,-0.4034639464122544,2.0887817023321986,0
single_restraint,2.0833333333333335,-0.398656479956925,2.1512286734198116,0
