scenario,method,pairs,target_calls,histories,mass_RMSE,mass_bias,rmse_low,rmse_high,full_256_pair_seconds_mean
constant,independent,64,128,32,0.04521668715892244,0.002430844379444092,0.03470449783963651,0.0553663096765729,0.0019416199866100214
constant,identity,64,128,32,0.033666286010356386,-0.007012728357217304,0.0257710122924916,0.04114929871877319,0.0015547709554084577
constant,constant,64,128,32,0.033666286010356386,-0.007012728357217304,0.0257710122924916,0.04114929871877319,1.2407090047308884
constant,gaussian,64,128,32,0.033666286010356386,-0.007012728357217304,0.0257710122924916,0.04114929871877319,1.7073968832737592
constant,nonlinear,64,128,32,0.033666286010356386,-0.007012728357217304,0.0257710122924916,0.04114929871877319,1.6315834755441756
constant,binned,64,128,32,0.033666286010356386,-0.007012728357217304,0.0257710122924916,0.04114929871877319,2.0046604268391093
constant,independent,128,256,32,0.0262170936636409,0.005398715604433104,0.019439700261589612,0.033086791572123166,0.0019416199866100214
constant,identity,128,256,32,0.022023617693605262,-0.0030242225842749357,0.01744171274155249,0.02660562148262022,0.0015547709554084577
constant,constant,128,256,32,0.016825842629274262,-0.0014566657093686448,0.012347699581417087,0.020976470102925384,1.2407090047308884
constant,gaussian,128,256,32,0.016194375810930788,-0.00046123315144300583,0.01201148275096921,0.020050498053937382,1.7073968832737592
constant,nonlinear,128,256,32,0.018793169654825595,-0.002693846186989774,0.013953619910710976,0.023254474896112615,1.6315834755441756
constant,binned,128,256,32,0.021035246483069002,-0.0020079599309393067,0.015080053144093858,0.02634327183829557,2.0046604268391093
constant,independent,192,384,32,0.021133089805864345,0.004733996849399845,0.01563373935691478,0.0262544449561242,0.0019416199866100214
constant,identity,192,384,32,0.0168646885416354,-0.0021051739196890767,0.01324381140906122,0.020273989058165555,0.0015547709554084577
constant,constant,192,384,32,0.014043153477302275,-0.0012011885383176307,0.010886880316386158,0.016942367703008006,1.2407090047308884
constant,gaussian,192,384,32,0.013019890137351603,-0.0016160551264100768,0.010236368713080922,0.015634347066127197,1.7073968832737592
constant,nonlinear,192,384,32,0.0151903012658448,-0.0017485403672200146,0.011804328004591025,0.01820202449555696,1.6315834755441756
constant,binned,192,384,32,0.01758448995384381,-0.001254492011547051,0.012856745639174655,0.021930203799354803,2.0046604268391093
constant,independent,256,512,32,0.020724208498028317,0.004204234705372772,0.015832578573482768,0.025136090149019425,0.0019416199866100214
constant,identity,256,512,32,0.01575730064611195,-0.0018002794744106342,0.011798779396862118,0.01943421228392403,0.0015547709554084577
constant,constant,256,512,32,0.012450105594985642,-0.0015480096523206865,0.009699676520098689,0.014949803526716527,1.2407090047308884
constant,gaussian,256,512,32,0.01245855037288438,-0.0018968283403260813,0.009760462853937207,0.015059284561349836,1.7073968832737592
constant,nonlinear,256,512,32,0.014275935697792803,-0.0016279443246646468,0.010704924891321462,0.017552743505104662,1.6315834755441756
constant,binned,256,512,32,0.015247375641758881,0.0003335374047615889,0.011360020871706211,0.019412088249332216,2.0046604268391093
nonlinear,independent,64,128,32,0.03534674352271102,-0.002888214772475745,0.025763006121340987,0.04432145410382479,0.0019089572451775894
nonlinear,identity,64,128,32,0.032607823133301815,-0.006610904805257464,0.024889084611369038,0.04074107166534012,0.0018800796460709535
nonlinear,constant,64,128,32,0.032607823133301815,-0.006610904805257464,0.024889084611369038,0.04074107166534012,0.9939699869428296
nonlinear,gaussian,64,128,32,0.032607823133301815,-0.006610904805257464,0.024889084611369038,0.04074107166534012,1.71454007966895
nonlinear,nonlinear,64,128,32,0.032607823133301815,-0.006610904805257464,0.024889084611369038,0.04074107166534012,1.6382847795684938
nonlinear,binned,64,128,32,0.032607823133301815,-0.006610904805257464,0.024889084611369038,0.04074107166534012,2.033733051735908
nonlinear,independent,128,256,32,0.025707530387763102,-0.0004892517783190685,0.017290695880487265,0.03381330004400432,0.0019089572451775894
