seed,method,attempted,graph_supported,geometrically_supported,validator_errors,generation_seconds,disconnected,overlap,distinct_connectivities_sum
0,gaussian,1344,581,789,0,399.7204454722814,548,21,565
0,fixed,1344,627,854,0,395.3899923688732,479,20,603
0,harmonic_tree,1344,575,811,0,414.59895780612715,521,21,543
0,node,1344,603,817,0,418.3178395961877,520,12,570
0,pair,1344,561,802,0,412.9288907207083,529,29,521
1,gaussian,1344,521,683,0,397.3755128046032,644,29,512
1,fixed,1344,557,779,0,399.7503030584194,546,40,536
1,harmonic_tree,1344,598,799,0,410.8099366039969,539,27,576
