seed,method,attempts,graph,geometry,distinct_connectivity,validator_errors,training_seconds,generation_seconds
0,fixed,768,316,476,300,0,362.846726546064,238.23903181171045
0,tree_learned,768,321,488,305,0,357.2751588160172,239.86056279507466
0,tree_fixed,768,322,487,307,0,338.6743051970843,241.81406191946007
0,local_learned,768,318,486,302,0,346.4627767109778,237.73745475243777
1,fixed,768,312,500,278,0,342.5416994080879,230.48582703410648
1,tree_learned,768,300,501,267,0,352.46635512285866,240.33252831664868
1,tree_fixed,768,298,499,265,0,339.55816444801167,238.66489290096797
1,local_learned,768,295,492,263,0,346.57088327687234,238.57920619752258
