seed,method,attempts,graph,geometry,distinct_connectivity,validator_errors,edge_head_parameter_change,training_seconds,generation_seconds,training_primitive_forwards,primitive_evaluations_per_sample
0,plain,768,363,480,342,0,0.0,330.2713282960467,231.45671113138087,3000,128
0,geometry,768,417,517,394,0,0.0,605.6105395650957,238.52104370878078,6000,128
0,latent,768,422,522,401,0,2.5355753898620605,615.3605820930097,236.3504272410646,6000,128
0,pooled,768,432,534,408,0,2.128506898880005,615.1895218931604,236.52138351695612,6000,128
1,plain,768,312,410,293,0,0.0,313.71482990309596,230.04773004329763,3000,128
1,geometry,768,342,426,318,0,0.0,595.6845252811909,242.78888760181144,6000,128
1,latent,768,334,418,311,0,2.866307020187378,578.4793074219488,234.8083889754489,6000,128
1,pooled,768,333,417,309,0,2.079735040664673,566.4349557911046,225.76428651856259,6000,128
