index,n_atoms,charge,E_before_hartree,max_force_evA,failure_reason,converged,steps,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,rmsd_A,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
0,109,0,-159.056909871751,192.0044844613611,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
1,178,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
2,75,0,-82.645780814075,7.385241749977798,,False,,-83.21564011357,357.5921093160788,4.7678947908810505,1.9880532637393704,,,,,,,,,,,,,,
3,19,0,-24.819869822609,10.651591527415546,,True,,-24.964072099427,90.48829488476447,4.762541836040235,0.5471271045316769,,,,,,,,,,,,,,
4,40,0,-61.616089090219,2.765621500400908,,True,,-61.941621542497,204.27469791944168,5.106867447986042,1.6433753472204355,,,,,,,,,,,,,,
5,65,0,-112.115111789018,15.339101914993325,,False,,-113.360239629775,781.329516494744,12.020454099919139,2.3960108257226858,,,,,,,,,,,,,,
6,18,0,-25.92414253795,4.174755772509491,,True,,-26.017231528797,58.41422368746616,3.2452346493036757,0.7838093589040631,,,,,,,,,,,,,,
7,19,0,-28.036709949308,4.614109193897904,,True,,-28.174373082375,86.38492022875002,4.5465747488815795,1.093768071562172,,,,,,,,,,,,,,
8,59,0,-101.089066375782,14.03572268690378,,False,,-101.426342161612,211.6437509804033,3.5871822200068357,2.7718446097434724,,,,,,,,,,,,,,
9,88,0,-116.005141592677,28.29874170393846,,False,,-117.811060166225,1133.2310142878885,12.877625162362369,2.146634565539338,,,,,,,,,,,,,,
10,57,0,-61.468049367333,5.585985686866168,,False,,-62.036917036532,356.9698519105668,6.262628980887136,2.7859829091456016,,,,,,,,,,,,,,
11,48,0,-51.946948931278,6.435487734409603,,True,,-52.45372898171,318.009282912255,6.625193394005312,1.4226271338789556,,,,,,,,,,,,,,
12,46,0,-77.164989339339,8.274515449281193,,True,,-77.99697408477,522.0783100339295,11.349528478998467,1.3959757791325618,,,,,,,,,,,,,,
13,8,0,-14.817990691501,9.154982584027055,,True,,-14.860328626842,26.56745553874792,3.32093194234349,0.2594311872601823,,,,,,,,,,,,,,
14,80,0,-119.294394547362,40.888991377317424,,False,,-121.062479690369,1109.490178187103,13.868627227338788,2.304801082745193,,,,,,,,,,,,,,
