index,n_atoms,charge,E_before_hartree,max_force_evA,failure_reason,converged,steps,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,rmsd_A,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
0,137,0,-413.87207822135,106.9309233598093,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
1,11,0,-11.963805015535,4.956032872737549,,True,,-12.039954397006,47.784458317097396,4.344041665190672,0.5182262575764838,,,,,,,,,,,,,,
2,81,0,-120.509337518919,75.70738611629308,,False,,-121.935214388659,894.7512446092921,11.046311661843113,2.3505693727521932,,,,,,,,,,,,,,
3,4,0,-10.642327087292,8.442791834077042,,True,,-10.694643358362,32.82895574407913,8.207238936019783,0.35055236081124636,,,,,,,,,,,,,,
4,78,0,-96.461812707081,19.858687918979474,,False,,-97.216793612805,473.7576710785571,6.073816295878937,2.6418055984847206,,,,,,,,,,,,,,
5,15,0,-15.672865759538,2.743791280369008,,True,,-15.775853085595,64.62552280919238,4.308368187279492,0.6337656080035724,,,,,,,,,,,,,,
6,85,0,-143.93647695254,14.285957385196733,,False,,-145.542380268368,1007.7195451114088,11.855524060134222,2.534091212911894,,,,,,,,,,,,,,
7,12,0,-12.584210264024,1.3669199041847797,,True,,-12.615648881397,19.72803025300249,1.644002521083541,0.2247167881315341,,,,,,,,,,,,,,
8,12,0,-17.299136187164,22.071917541918857,,True,,-17.403831062653,65.69702625520569,5.474752187933807,0.5116068961882609,,,,,,,,,,,,,,
9,79,0,-109.716029385876,62.113260816772716,,False,,-111.867778971105,1350.2432505425422,17.091686715728382,2.3733198019421433,,,,,,,,,,,,,,
10,168,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
11,97,0,-108.483168421071,137.42335651829367,,False,,-111.670198375029,1999.8914902315323,20.617438043624045,1.3719736481202707,,,,,,,,,,,,,,
12,16,0,-17.820140272249,1.7305840601956153,,True,,-17.89196220061,45.06894049200903,2.816808780750564,0.600180182353953,,,,,,,,,,,,,,
13,102,0,-120.196130113824,75.95849861583736,,False,,-125.457287585787,3301.4261581946525,32.366923119555416,2.0148259128984285,,,,,,,,,,,,,,
14,8,0,-8.799718678343,2.6552542831653287,,True,,-8.869663402477,43.89097705481516,5.486372131851895,0.3883739890780598,,,,,,,,,,,,,,
15,7,0,-12.300946397221,13.781253786794528,,True,,-12.332387430942,19.729546534263957,2.818506647751994,0.16008541331566395,,,,,,,,,,,,,,
16,80,0,-88.225296957882,39.07048644110401,,True,,-89.426393110086,753.6992147687464,9.42124018460933,1.2558145267384142,,,,,,,,,,,,,,
17,12,0,-12.579755862563,4.1577734033628975,,True,,-12.613495670457,21.172049106554734,1.7643374255462279,0.3029165009445008,,,,,,,,,,,,,,
18,95,0,-129.198119089441,19.523010046246156,,False,,-131.512562215204,1452.3349885965013,15.287736722068434,1.7799431818432843,,,,,,,,,,,,,,
19,104,0,-105.311406093442,33.91032617694024,,False,,-111.202939476117,3696.9930143875813,35.548009753726745,1.8015506729205517,,,,,,,,,,,,,,
20,13,0,-15.772876245549,2.67386258223411,,True,,-15.844525839364,44.9607989316852,3.458522994745015,0.8329499572874207,,,,,,,,,,,,,,
21,79,0,-107.894214873945,23.641064948045393,,False,,-109.349644399806,913.2958163089385,11.560706535556184,2.201507750799206,,,,,,,,,,,,,,
22,48,0,-61.959898010525,55.56208939441322,,True,,-62.833405065213,548.1339524776732,11.41945734328486,0.5888641038301569,,,,,,,,,,,,,,
23,18,0,-20.804030085917,3.8218381412074134,,True,,-20.84564666404,26.11479705027049,1.4508220583483604,1.0747158784205242,,,,,,,,,,,,,,
24,15,0,-13.17631047068,58.23714026766671,,True,,-13.635841034179,288.35978221717716,19.223985481145142,0.5157721314651955,,,,,,,,,,,,,,
25,75,0,-101.985703418612,33.19109504142154,,False,,-103.534457968442,971.8581530166526,12.958108706888702,3.0115109514806293,,,,,,,,,,,,,,
26,16,0,-17.295120306695,3.2012373388620547,,True,,-17.32268007459,17.29401545709209,1.0808759660682556,0.8183105260732905,,,,,,,,,,,,,,
27,18,0,-18.32246661987,1.9447435069487558,,True,,-18.502711021668,113.10506977508068,6.283614987504482,1.0502256357084638,,,,,,,,,,,,,,
28,44,0,-51.428379832304,4.09375009994822,,True,,-52.275853305887,531.7976336904931,12.086309856602115,2.3881918535819104,,,,,,,,,,,,,,
29,5,0,-11.181164919079,8.943155393042733,,True,,-11.283007458102,63.90715809957347,12.781431619914695,0.19801500339731817,,,,,,,,,,,,,,
30,4,0,-1.948490558789,4.0727705564821814,,True,,-1.965647803446,10.766333571086054,2.6915833927715136,0.26285861019666135,,,,,,,,,,,,,,
31,5,0,-11.253530855655,3.8654461792392043,,True,,-11.283007475178,18.496858014035183,3.6993716028070365,0.23748951722596992,,,,,,,,,,,,,,
32,46,0,-74.685542269968,11.230492119885135,,False,,-75.680145157796,624.1227350425943,13.567885544404223,1.9636593384499095,,,,,,,,,,,,,,
33,37,0,-39.081732696314,3.9983219520043485,,True,,-39.512068844978,270.04001031848935,7.298378657256469,1.276856180002213,,,,,,,,,,,,,,
34,52,0,-61.474579743923,9.465299152975927,,False,,-62.969308360215,937.9563678764587,18.037622459162666,2.2731901063743645,,,,,,,,,,,,,,
35,11,0,-13.506550106822,2.6088200037999156,,True,,-13.714378238542,130.41412163113355,11.855829239193959,0.5722226115900207,,,,,,,,,,,,,,
36,68,0,-77.450869644271,31.600303139561376,,False,,-78.821316669979,859.9684923333688,12.646595475490717,3.217356749195143,,,,,,,,,,,,,,
37,24,0,-26.489051269978,4.88171927922169,,True,,-26.766291957906,173.97115827059122,7.248798261274634,1.3411433536635604,,,,,,,,,,,,,,
38,39,0,-58.867486747664,4.864046253351321,,False,,-59.692641084597,517.7921639897107,13.276722153582327,2.2146008563325674,,,,,,,,,,,,,,
39,19,0,-20.794976085249,4.899112674582609,,True,,-21.057341210055,164.6366014795122,8.665084288395379,1.0222212113362168,,,,,,,,,,,,,,
40,64,0,-106.550761767531,15.824311159197304,,False,,-107.70078179369,721.6484617770654,11.275757215266648,2.9150679637566124,,,,,,,,,,,,,,
41,14,0,-17.542262850658,1.7035962849108452,,True,,-17.590298180452,30.142624535480877,2.1530446096772056,0.6766024450678538,,,,,,,,,,,,,,
