seed,method,attempts,graph,geometry,validator_errors,distinct_connectivity,generation_seconds,utility
0,fixed,768,461,575,0,421,226.1664210970048,0.6299479166666667
0,actual,768,462,591,0,423,226.94106722204015,0.6351562500000001
0,shuffled,768,423,555,0,377,226.33458205941133,0.5851562499999999
0,nll,768,476,593,0,429,226.41528438171372,0.6502604166666667
1,fixed,768,410,533,0,373,233.51466776872985,0.5658854166666667
1,actual,768,392,519,0,352,233.97021202999167,0.5434895833333334
1,shuffled,768,410,525,0,377,233.94418679201044,0.5638020833333334
1,nll,768,409,544,0,375,234.36761967465281,0.5677083333333334
